scenario_key,scenario_name,turn,code,name,population_weight,energy_security,food_security,compute_access,distribution_capacity,social_cohesion,cash_stability,capital_surplus,labor_displacement,inequality_pressure,sanction_exposure,conflict_risk,climate_stress,alliance_support,war_burden,military_posture,tax_burden,housing_pressure,youth_unemployment,policing_capacity,elite_cohesion,economic_stress,legitimacy_stress,mobilization_capacity,elite_fragmentation,communal_polarization,domestic_burden,domestic_stage,domestic_stage_index,grievance_pressure,protest_pressure,riot_pressure,civil_conflict_pressure,domestic_diversion_incentive,survival_pressure,war_pressure,gray_zone_probability,proxy_probability,limited_war_probability,likely_mode,adaptation_absorption,structure_credit_gain,capital_share_gain,displacement_bump,displacement_gap_after_buffer,war_drag,M,L,S,dependency_risk,displacement_gap,horizon_turns,support_needed,coercion_capacity,repression_mismatch,relief_support,trigger_bonus,armed_capacity,escalation_probability,cooldown_probability
fracture,High automation / low adaptation,5,BRA,Brazil,0.05,0.79,0.91,0.54,0.316,0.487,0.5318,0.476,0.3428,0.4869,0.08,0.2747,0.38,0.4293,0.0,0.0449,0.2768,0.4264,0.2502,0.4008,0.481,0.3444,0.3894,0.4182,0.4313,0.382,0.0714,grievance,1,0.2741,0.2537,0.3489,0.2229,0.3526,0.0,0.0,0.0,0.0,0.0,none,0.0129,0.0197,0.0,0.0436,0.3102,0.0,0.6214,0.2818,0.4688,0.1449,0.0267,6.99,0.3375,0.3955,0.4046,0.0082,0.0137,0.3228,0.1574,0.1007
fracture,High automation / low adaptation,6,USA,United States,0.18,0.8186,0.88,0.97,0.4485,0.4639,0.6485,0.9737,0.5544,0.4798,0.1247,0.2701,0.22,0.7683,0.0041,0.0848,0.3059,0.4272,0.289,0.6776,0.7496,0.3463,0.2922,0.5648,0.28,0.3901,0.02,stable,0,0.2346,0.2211,0.2923,0.1778,0.2742,0.0907,0.2699,0.4298,0.147,0.0044,proxy,0.019,0.0129,0.0029,0.0682,0.5196,0.0031,0.7758,0.2816,0.5854,0.1124,0.1059,8.53,0.2688,0.6802,0.2747,0.0079,0.0597,0.5601,0.1866,0.1772
fracture,High automation / low adaptation,6,CHN,China,0.18,0.68,0.7,0.78,0.4069,0.5176,0.5826,0.8915,0.5368,0.5207,0.454,0.4505,0.3,0.4614,0.0404,0.1946,0.3069,0.4733,0.2949,0.7212,0.6957,0.3795,0.3575,0.4594,0.3808,0.4482,0.0714,grievance,1,0.2701,0.2372,0.3262,0.2313,0.3444,0.1629,0.5333,0.7397,0.3415,0.1105,proxy,0.018,0.0115,0.0024,0.063,0.5049,0.0277,0.682,0.3672,0.4724,0.1228,0.1299,6.47,0.4291,0.7301,0.1774,0.0072,0.0625,0.5909,0.1441,0.1621
fracture,High automation / low adaptation,6,EU,European Union,0.16,0.4382,0.8,0.84,0.5973,0.4912,0.5084,0.85,0.5,0.4037,0.1882,0.3177,0.23,0.7889,0.0642,0.0814,0.314,0.4561,0.2658,0.5966,0.702,0.3659,0.2764,0.5401,0.2821,0.3743,0.09,protest,2,0.2462,0.2565,0.3007,0.1814,0.3134,0.0,0.0,0.0,0.0,0.0,none,0.0206,0.0141,0.0021,0.0621,0.4632,0.0534,0.7068,0.3201,0.5132,0.2433,0.0,8.15,0.3374,0.5836,0.3308,0.0084,0.0682,0.463,0.103,0.1676
fracture,High automation / low adaptation,6,JPN,Japan,0.07,0.1667,0.4101,0.88,0.557,0.5854,0.5349,0.7872,0.5034,0.3871,0.1555,0.2608,0.18,0.7721,0.0824,0.0914,0.3108,0.5133,0.2537,0.5744,0.7001,0.3579,0.246,0.5533,0.2682,0.3147,0.02,stable,0,0.229,0.225,0.2787,0.1535,0.2575,0.0,0.0,0.0,0.0,0.0,none,0.0205,0.0141,0.0017,0.0609,0.4671,0.0594,0.6356,0.3084,0.467,0.3823,0.0,7.7,0.3691,0.5543,0.3136,0.0083,0.0664,0.415,0.1815,0.1756
fracture,High automation / low adaptation,6,IND,India,0.19,0.4147,0.65,0.63,0.3467,0.4636,0.4118,0.4963,0.4616,0.5439,0.1,0.3642,0.42,0.5683,0.0059,0.0803,0.2862,0.4954,0.2968,0.5258,0.5049,0.4163,0.3952,0.4534,0.432,0.4235,0.0697,grievance,1,0.3091,0.2907,0.371,0.2564,0.3977,0.0,0.0,0.0,0.0,0.0,none,0.0135,0.0095,0.0,0.0525,0.4386,0.0049,0.5571,0.3513,0.3921,0.2647,0.1149,5.98,0.4906,0.5325,0.3444,0.0053,0.0666,0.4587,0.1247,0.1081
fracture,High automation / low adaptation,6,SAU,Saudi Arabia,0.03,0.96,0.28,0.58,0.3881,0.4979,0.6385,0.7905,0.3547,0.4184,0.18,0.412,0.43,0.6008,0.0,0.0869,0.301,0.4956,0.2288,0.6099,0.681,0.321,0.3214,0.3687,0.325,0.3988,0.0267,stable,0,0.2363,0.191,0.2841,0.1908,0.285,0.0,0.0,0.0,0.0,0.0,none,0.0166,0.0112,0.0016,0.04,0.3253,0.0,0.6387,0.3082,0.4693,0.3356,0.0,7.07,0.3679,0.6081,0.1593,0.0067,0.0512,0.4653,0.1881,0.1586
fracture,High automation / low adaptation,6,RUS,Russia,0.04,0.8763,0.74,0.52,0.2453,0.4088,0.3613,0.5943,0.3645,0.5561,0.8019,0.6409,0.26,0.2529,0.0307,0.2195,0.2883,0.49,0.2723,0.6253,0.385,0.3997,0.5363,0.3118,0.6312,0.5723,0.055,grievance,1,0.3475,0.2696,0.4376,0.332,0.4493,0.3255,0.4152,0.5091,0.4707,0.0311,proxy,0.0118,0.0074,0.0003,0.0432,0.3449,0.0259,0.5688,0.445,0.3645,0.3079,0.1191,4.53,0.5764,0.6473,0.2368,0.0044,0.0715,0.588,0.1711,0.0914
fracture,High automation / low adaptation,6,BRA,Brazil,0.05,0.79,0.86,0.54,0.3171,0.4456,0.4799,0.4803,0.3863,0.512,0.08,0.3091,0.47,0.4266,0.0,0.0514,0.2774,0.4503,0.264,0.4014,0.4721,0.3717,0.3977,0.4173,0.4406,0.3994,0.12,protest,2,0.2957,0.2696,0.3682,0.238,0.3664,0.0,0.0,0.0,0.0,0.0,none,0.0128,0.0087,0.0,0.0436,0.3648,0.0,0.6099,0.3157,0.4448,0.1454,0.0692,6.56,0.4013,0.3958,0.4209,0.0049,0.0563,0.329,0.1711,0.0944
fracture,High automation / low adaptation,7,USA,United States,0.18,0.8186,0.88,0.97,0.4497,0.43,0.5975,0.9743,0.6226,0.5199,0.1247,0.2938,0.22,0.7658,0.0034,0.0925,0.3061,0.4545,0.3055,0.6776,0.7506,0.3783,0.3045,0.5624,0.2884,0.4169,0.02,stable,0,0.2519,0.229,0.3073,0.1847,0.2912,0.1036,0.2823,0.4452,0.1547,0.0047,proxy,0.0188,0.0128,0.0104,0.0682,0.5806,0.0026,0.7724,0.3057,0.569,0.1125,0.1729,8.13,0.3235,0.6802,0.2991,0.0093,0.0196,0.5676,0.2028,0.1709
