scenario_key,scenario_name,turn,code,name,population_weight,energy_security,food_security,compute_access,distribution_capacity,social_cohesion,cash_stability,capital_surplus,labor_displacement,inequality_pressure,sanction_exposure,conflict_risk,climate_stress,alliance_support,war_burden,military_posture,tax_burden,housing_pressure,youth_unemployment,policing_capacity,elite_cohesion,economic_stress,legitimacy_stress,mobilization_capacity,elite_fragmentation,communal_polarization,domestic_burden,domestic_stage,domestic_stage_index,grievance_pressure,protest_pressure,riot_pressure,civil_conflict_pressure,domestic_diversion_incentive,survival_pressure,war_pressure,gray_zone_probability,proxy_probability,limited_war_probability,likely_mode,adaptation_absorption,structure_credit_gain,capital_share_gain,displacement_bump,displacement_gap_after_buffer,war_drag,M,L,S,dependency_risk,displacement_gap,horizon_turns,support_needed,coercion_capacity,repression_mismatch,relief_support,trigger_bonus,armed_capacity,escalation_probability,cooldown_probability
complement,High automation / high adaptation,25,USA,United States,0.18,0.7641,0.88,0.97,0.5844,0.0,0.0,0.3007,1.0,1.0,0.1653,1.0,0.22,0.6235,0.0508,0.2374,0.3345,1.0,0.0967,0.5976,0.4406,0.6888,0.5664,0.456,0.5636,0.8517,0.195,insurgency,5,0.5267,0.4498,0.6067,0.3982,0.6343,0.4822,0.3377,0.5185,0.1994,0.0065,proxy,0.0462,0.0511,0.0,0.068,0.9026,0.0278,0.63,0.6225,0.338,0.1929,0.4156,3.59,0.8734,0.6161,0.6916,0.0236,0.0682,0.7263,0.1138,0.0635
complement,High automation / high adaptation,25,CHN,China,0.18,0.6697,0.7,0.78,0.5314,0.0076,0.0,0.3562,1.0,1.0,0.6261,1.0,0.3,0.3377,0.1307,0.4659,0.3303,1.0,0.0613,0.7002,0.2644,0.6873,0.6236,0.335,0.7036,0.8886,0.19,riot,4,0.5377,0.4055,0.6229,0.4503,0.6294,0.5706,0.5618,0.7715,0.3716,0.1414,proxy,0.0481,0.0481,0.0,0.0629,0.9037,0.0625,0.5775,0.6837,0.2915,0.1701,0.4686,2.45,0.9437,0.713,0.5107,0.0231,0.0726,0.7407,0.6008,0.0695
complement,High automation / high adaptation,25,EU,European Union,0.16,0.2947,0.8,0.84,0.7696,0.0,0.0,0.4942,1.0,1.0,0.2001,1.0,0.23,0.7875,0.1742,0.225,0.3364,1.0,0.0,0.5972,0.4593,0.6764,0.5025,0.4104,0.5173,0.8458,0.0571,stable,0,0.5072,0.3725,0.5805,0.3629,0.5151,0.0,0.0,0.0,0.0,0.0,none,0.0642,0.0694,0.0,0.0614,0.8664,0.0942,0.6233,0.6322,0.3312,0.3086,0.2304,4.29,0.779,0.5839,0.6723,0.0324,0.077,0.6461,0.2831,0.0815
complement,High automation / high adaptation,25,JPN,Japan,0.07,0.047,0.3826,0.88,0.7813,0.0,0.0,0.3418,1.0,1.0,0.2195,1.0,0.18,0.7846,0.2239,0.2454,0.3402,1.0,0.0,0.5296,0.4492,0.6793,0.5321,0.4134,0.539,0.8527,0.16,riot,4,0.5224,0.4281,0.6025,0.3723,0.5895,0.0,0.0,0.0,0.0,0.0,none,0.0597,0.0656,0.0,0.0604,0.8748,0.1277,0.503,0.686,0.2533,0.638,0.2187,3.48,0.9433,0.5189,0.7472,0.0304,0.0803,0.6101,0.1666,0.0677
complement,High automation / high adaptation,25,IND,India,0.19,0.4355,0.65,0.63,0.5758,0.0,0.0,0.1903,1.0,1.0,0.1075,1.0,0.42,0.55,0.0119,0.1827,0.2986,1.0,0.1027,0.5117,0.1198,0.6927,0.6168,0.3443,0.7012,0.8395,0.19,riot,4,0.546,0.4251,0.6349,0.4486,0.6347,0.0,0.0,0.0,0.0,0.0,none,0.0412,0.0457,0.0,0.0527,0.9131,0.0098,0.5075,0.6383,0.268,0.2718,0.4242,2.84,0.9335,0.5211,0.6627,0.0211,0.0604,0.616,0.6194,0.0502
complement,High automation / high adaptation,25,SAU,Saudi Arabia,0.03,0.96,0.28,0.58,0.5467,0.0,0.0,0.4432,1.0,1.0,0.18,1.0,0.43,0.4808,0.0,0.1826,0.3169,1.0,0.0,0.546,0.4498,0.6821,0.5801,0.2478,0.577,0.8464,0.125,mass_protest,3,0.5299,0.3914,0.5866,0.3772,0.6008,0.0,0.0,0.0,0.0,0.0,none,0.0451,0.0459,0.0,0.04,0.909,0.0,0.5374,0.6538,0.2795,0.4411,0.4533,2.77,0.9499,0.5556,0.5386,0.0219,0.0552,0.6067,0.5431,0.0598
complement,High automation / high adaptation,25,RUS,Russia,0.04,0.8702,0.74,0.52,0.3413,0.0061,0.0031,0.2069,1.0,1.0,0.9649,1.0,0.26,0.1021,0.0851,0.4601,0.3112,1.0,0.1744,0.6051,0.0,0.6989,0.7713,0.2288,0.9239,0.9278,0.16,riot,4,0.5907,0.4467,0.7,0.5299,0.7359,0.698,0.4311,0.5302,0.5083,0.0354,proxy,0.0299,0.0279,0.0,0.0432,0.9423,0.0503,0.4779,0.7393,0.2282,0.3964,0.6587,0.82,1.0,0.6327,0.524,0.0138,0.0644,0.6939,0.3576,0.0412
complement,High automation / high adaptation,25,BRA,Brazil,0.05,0.7353,0.837,0.54,0.4796,0.0,0.0,0.1076,1.0,1.0,0.08,1.0,0.47,0.3256,0.047,0.172,0.2947,1.0,0.1022,0.3478,0.1055,0.7037,0.6526,0.3136,0.7224,0.8455,0.23,civil_conflict,6,0.5745,0.4888,0.6692,0.4584,0.7155,0.0,0.0,0.0,0.0,0.0,none,0.0327,0.0344,0.0,0.0433,0.9328,0.0235,0.5087,0.6427,0.2675,0.1855,0.5204,2.12,0.9961,0.3538,0.8053,0.0162,0.0604,0.4947,0.0,0.035
complement,High automation / high adaptation,26,USA,United States,0.18,0.7515,0.88,0.97,0.5888,0.0,0.0,0.2505,1.0,1.0,0.1653,1.0,0.22,0.6067,0.0557,0.2345,0.337,1.0,0.1065,0.589,0.4088,0.689,0.5761,0.4578,0.5814,0.8496,0.195,insurgency,5,0.5296,0.4534,0.6126,0.4039,0.6401,0.4865,0.3441,0.5262,0.2039,0.0067,proxy,0.0446,0.0495,0.0,0.0679,0.9059,0.0314,0.6185,0.6244,0.3313,0.2023,0.4112,3.52,0.8794,0.6083,0.6991,0.0229,0.0688,0.7245,0.1178,0.0607
complement,High automation / high adaptation,26,CHN,China,0.18,0.6697,0.7,0.78,0.5346,0.0058,0.0029,0.2937,1.0,1.0,0.6395,1.0,0.3,0.3234,0.1312,0.4765,0.3341,1.0,0.0694,0.6894,0.2245,0.6939,0.6429,0.3365,0.7283,0.8954,0.16,riot,4,0.5474,0.4271,0.6362,0.4711,0.6595,0.578,0.5681,0.778,0.3793,0.147,proxy,0.046,0.0465,0.0,0.0629,0.9075,0.0854,0.5696,0.6847,0.2872,0.1827,0.4654,2.4,0.942,0.705,0.5269,0.0222,0.0766,0.7425,0.2753,0.0652
complement,High automation / high adaptation,26,EU,European Union,0.16,0.2639,0.8,0.84,0.7733,0.0,0.0,0.4679,1.0,1.0,0.2001,1.0,0.23,0.7951,0.2043,0.2429,0.3397,1.0,0.0,0.5984,0.4334,0.6772,0.507,0.4104,0.5282,0.8438,0.0479,stable,0,0.5088,0.361,0.5832,0.3694,0.4957,0.0,0.0,0.0,0.0,0.0,none,0.0638,0.0693,0.0,0.0612,0.8668,0.1188,0.614,0.6361,0.325,0.3305,0.2267,4.2,0.7887,0.5844,0.6699,0.0323,0.0811,0.6497,0.5431,0.0809
complement,High automation / high adaptation,26,JPN,Japan,0.07,0.0055,0.3826,0.88,0.7838,0.0,0.0,0.2848,1.0,1.0,0.2195,1.0,0.18,0.7835,0.2555,0.2601,0.3452,1.0,0.0,0.5214,0.4177,0.6829,0.5454,0.4134,0.5558,0.8527,0.225,insurgency,5,0.5285,0.434,0.6104,0.3858,0.5937,0.0,0.0,0.0,0.0,0.0,none,0.0581,0.0645,0.0,0.0601,0.8774,0.1695,0.4799,0.7033,0.2375,0.6958,0.2162,3.27,0.9912,0.512,0.7541,0.0298,0.0865,0.6136,0.1791,0.0647
complement,High automation / high adaptation,26,IND,India,0.19,0.4355,0.65,0.63,0.5804,0.0,0.0,0.146,1.0,1.0,0.1075,1.0,0.42,0.5343,0.0098,0.1857,0.3004,1.0,0.1089,0.501,0.087,0.6964,0.6295,0.3454,0.7187,0.8435,0.16,riot,4,0.552,0.4437,0.6438,0.4619,0.6633,0.0,0.0,0.0,0.0,0.0,none,0.0398,0.0444,0.0,0.0527,0.9158,0.008,0.5012,0.6374,0.2649,0.2845,0.4196,2.82,0.9292,0.5132,0.6758,0.0205,0.0601,0.6137,0.2635,0.0477
complement,High automation / high adaptation,26,SAU,Saudi Arabia,0.03,0.96,0.28,0.58,0.5515,0.0,0.0,0.4226,1.0,1.0,0.18,1.0,0.43,0.4719,0.0,0.1868,0.318,1.0,0.0,0.5396,0.422,0.6822,0.5882,0.2478,0.5916,0.8464,0.125,mass_protest,3,0.5324,0.394,0.5915,0.3837,0.6058,0.0,0.0,0.0,0.0,0.0,none,0.0444,0.0451,0.0,0.04,0.9105,0.0,0.5323,0.6555,0.2763,0.4539,0.4485,2.75,0.9525,0.5502,0.544,0.0215,0.0552,0.6052,0.551,0.0579
complement,High automation / high adaptation,26,RUS,Russia,0.04,0.8702,0.74,0.52,0.3438,0.0061,0.0031,0.1446,1.0,1.0,0.9793,1.0,0.26,0.0873,0.0953,0.4809,0.3139,1.0,0.1831,0.5982,0.0,0.6994,0.7776,0.2304,0.9301,0.9272,0.16,riot,4,0.5931,0.4495,0.7035,0.5304,0.7384,0.7041,0.4324,0.5314,0.5101,0.036,proxy,0.028,0.0263,0.0,0.0432,0.9457,0.0588,0.4681,0.7441,0.2224,0.4134,0.6562,0.74,1.0,0.6263,0.5313,0.0129,0.0659,0.6934,0.3584,0.0398
complement,High automation / high adaptation,26,BRA,Brazil,0.05,0.7205,0.8256,0.54,0.4831,0.0,0.0,0.0525,1.0,1.0,0.08,1.0,0.47,0.3074,0.0549,0.1919,0.2974,1.0,0.1111,0.3376,0.0708,0.704,0.6641,0.3152,0.7422,0.8435,0.23,civil_conflict,6,0.5781,0.4931,0.6759,0.4653,0.7219,0.0,0.0,0.0,0.0,0.0,none,0.0308,0.0326,0.0,0.0432,0.9366,0.0296,0.4941,0.6454,0.2591,0.1983,0.5169,2.01,1.0,0.3445,0.8141,0.0153,0.0615,0.4929,0.0,0.0332
complement,High automation / high adaptation,27,USA,United States,0.18,0.7389,0.88,0.97,0.593,0.0035,0.0,0.1948,1.0,1.0,0.1706,1.0,0.22,0.5901,0.0655,0.2557,0.3395,1.0,0.1171,0.5792,0.376,0.6907,0.5874,0.4597,0.5996,0.8496,0.195,insurgency,5,0.5339,0.458,0.6198,0.4125,0.6471,0.4909,0.3517,0.5355,0.2094,0.007,proxy,0.0429,0.048,0.0,0.0679,0.9091,0.0345,0.6069,0.6276,0.324,0.2117,0.407,3.43,0.8871,0.5999,0.7094,0.0221,0.0694,0.7226,0.124,0.0578
complement,High automation / high adaptation,27,CHN,China,0.18,0.6512,0.7,0.78,0.5376,0.0,0.0,0.2408,1.0,1.0,0.6484,1.0,0.3,0.3076,0.1408,0.4619,0.3376,1.0,0.0773,0.6825,0.1838,0.6936,0.654,0.3379,0.7515,0.8947,0.225,insurgency,5,0.5505,0.4307,0.6433,0.4786,0.6667,0.5875,0.5695,0.7786,0.3796,0.1476,proxy,0.0441,0.0449,0.0,0.0629,0.911,0.0858,0.5514,0.6969,0.2747,0.2044,0.4624,2.26,0.9748,0.6986,0.534,0.0214,0.0767,0.7408,0.2851,0.0624
complement,High automation / high adaptation,27,EU,European Union,0.16,0.2639,0.8,0.84,0.7766,0.0,0.0,0.4406,1.0,1.0,0.2001,1.0,0.23,0.7886,0.1675,0.2327,0.3435,1.0,0.0,0.5988,0.4072,0.6788,0.5122,0.4104,0.5392,0.8432,0.0403,stable,0,0.511,0.3631,0.5866,0.3772,0.4973,0.0,0.0,0.0,0.0,0.0,none,0.0634,0.0693,0.0,0.0611,0.8674,0.1394,0.6143,0.6321,0.3265,0.3329,0.2234,4.29,0.7762,0.5845,0.6691,0.0322,0.0846,0.6527,0.5464,0.0801
complement,High automation / high adaptation,27,JPN,Japan,0.07,0.0,0.3826,0.88,0.7857,0.0,0.0,0.2267,1.0,1.0,0.2195,1.0,0.18,0.7693,0.2235,0.2487,0.3513,1.0,0.0017,0.5089,0.3837,0.6887,0.5619,0.4137,0.5745,0.8571,0.195,insurgency,5,0.5369,0.4546,0.6212,0.4038,0.6219,0.0,0.0,0.0,0.0,0.0,none,0.0562,0.0631,0.0,0.0598,0.8808,0.1933,0.4718,0.7016,0.2339,0.7264,0.2143,3.28,0.986,0.5026,0.7682,0.029,0.0901,0.6143,0.1177,0.0609
complement,High automation / high adaptation,27,IND,India,0.19,0.4355,0.65,0.63,0.5849,0.0,0.0,0.1018,1.0,1.0,0.1075,1.0,0.42,0.5185,0.008,0.1883,0.3019,1.0,0.1147,0.4942,0.054,0.6956,0.6378,0.3464,0.7362,0.8415,0.16,riot,4,0.5539,0.4463,0.6487,0.4667,0.6687,0.0,0.0,0.0,0.0,0.0,none,0.0384,0.043,0.0,0.0527,0.9186,0.0066,0.4934,0.639,0.2604,0.2972,0.4151,2.78,0.9325,0.5068,0.6812,0.0198,0.0599,0.6116,0.2696,0.0459
complement,High automation / high adaptation,27,SAU,Saudi Arabia,0.03,0.96,0.28,0.58,0.5562,0.0,0.0,0.3788,1.0,1.0,0.18,1.0,0.43,0.456,0.0,0.1905,0.319,1.0,0.0,0.5332,0.3938,0.6823,0.5963,0.2478,0.6063,0.8464,0.19,riot,4,0.5349,0.3965,0.5964,0.3903,0.6108,0.0,0.0,0.0,0.0,0.0,none,0.0436,0.0443,0.0,0.04,0.912,0.0,0.5211,0.6648,0.2681,0.4701,0.4438,2.67,0.9779,0.5447,0.5495,0.0211,0.0552,0.6037,0.5589,0.056
